accuracy,loss,val_accuracy,val_loss
0.3872545063495636,2.049710273742676,0.38624510169029236,1.6309784650802612
0.38872137665748596,1.646312952041626,0.38722294569015503,
0.38888436555862427,1.6449888944625854,0.3852672874927521,
0.38888436555862427,1.642353892326355,0.38461539149284363,
0.388639897108078,1.6418629884719849,0.3852672874927521,
0.3889658451080322,1.6439828872680664,0.3617992103099823,
0.3890473544597626,1.6435179710388184,0.37451109290122986,
0.38888436555862427,1.6417409181594849,0.3409387171268463,
0.3888028562068939,1.641501545906067,0.38624510169029236,
0.38888436555862427,1.6415984630584717,0.3855932056903839,
0.388639897108078,1.6415554285049438,0.38591915369033813,
0.38888436555862427,1.6409765481948853,0.38494133949279785,
0.38888436555862427,1.6409003734588623,0.3885267376899719,
0.388639897108078,1.640259861946106,0.38494133949279785,
0.3889658451080322,1.6404047012329102,0.38754889369010925,
0.38888436555862427,1.6400935649871826,0.3868969976902008,
0.38888436555862427,1.6396828889846802,0.38885268568992615,
0.3888028562068939,1.6396737098693848,0.3911342918872833,
0.388639897108078,1.6391842365264893,0.37940025329589844,
0.3888028562068939,1.6402169466018677,0.38722294569015503,
